bits,group,rb,rc,rdt,layer_mode,ppl
4,64,16,16,36,mid,25.7180
4,64,16,16,36,late,102.8559
4,64,16,16,36,all,94.9254
4,64,16,16,24,early,25.7205
4,64,16,16,24,mid,26.5168
4,64,16,16,24,late,157.9990
4,64,16,16,24,all,118.4359
4,64,16,8,48,early,29.0275
4,64,16,8,48,mid,32.2957
4,64,16,8,48,late,43.7539
4,64,16,8,48,all,199.9323
4,64,16,8,36,early,29.6618
4,64,16,8,36,mid,33.2663
4,64,16,8,36,late,98.1851
4,64,16,8,36,all,230.9437
4,64,16,8,24,early,30.5638
4,64,16,8,24,mid,34.5552
4,64,16,8,24,late,142.9282
4,64,16,8,24,all,281.6086
4,64,16,4,48,early,32.0030
4,64,16,4,48,mid,38.6852
4,64,16,4,48,late,742.3277
4,64,16,4,48,all,5794.9409
4,64,16,4,36,early,32.8531
4,64,16,4,36,mid,39.6275
4,64,16,4,36,late,759.4482
4,64,16,4,36,all,5165.1001
4,64,16,4,24,early,33.9826
4,64,16,4,24,mid,40.6938
4,64,16,4,24,late,865.5856
4,64,16,4,24,all,6670.0508
4,64,8,16,48,early,25.9401
4,64,8,16,48,mid,27.4404
4,64,8,16,48,late,37.8147
4,64,8,16,48,all,88.9846
4,64,8,16,36,early,26.2461
4,64,8,16,36,mid,28.2384
4,64,8,16,36,late,107.1573
4,64,8,16,36,all,136.6043
4,64,8,16,24,early,26.7189
4,64,8,16,24,mid,29.2423
4,64,8,16,24,late,160.0746
4,64,8,16,24,all,178.3306
4,64,8,8,48,early,31.3454
4,64,8,8,48,mid,34.8630
4,64,8,8,48,late,169.0374
4,64,8,8,48,all,13658.4912
4,64,8,8,36,early,32.1556
4,64,8,8,36,mid,35.8658
4,64,8,8,36,late,227.0406
4,64,8,8,36,all,12069.7266
4,64,8,8,24,early,33.2724
4,64,8,8,24,mid,37.0304
4,64,8,8,24,late,311.4049
4,64,8,8,24,all,14578.1260
4,64,8,4,48,early,33.4227
4,64,8,4,48,mid,40.6256
4,64,8,4,48,late,3190.5708
4,64,8,4,48,all,51901.4727
4,64,8,4,36,early,34.3418
4,64,8,4,36,mid,41.5464
4,64,8,4,36,late,1822.3369
4,64,8,4,36,all,38233.3008
4,64,8,4,24,early,35.5501
4,64,8,4,24,mid,42.6155
4,64,8,4,24,late,2043.8539
4,64,8,4,24,all,50983.1562
4,64,4,16,48,early,26.5468
4,64,4,16,48,mid,30.8373
4,64,4,16,48,late,105.7242
4,64,4,16,48,all,528.0035
4,64,4,16,36,early,26.9130
4,64,4,16,36,mid,31.6822
4,64,4,16,36,late,167.7402
